Date,TQQQ,QLD,SSO,XLE,GLD,IEF,SPY,QQQ,state,year,total,revenue_rate,total_revenue_rate,,,,,
2006-01-03,,,,33.58913803,53.11999893,56.08405685,92.17738342,36.21503448,risk1,2006,51.36,,,,,,,
2006-01-04,,,,33.68473816,53.29999924,56.18431091,92.61392975,36.59201431,risk1,2006,51.68,0.62%,0.50%,,,,,697.1274825
2006-01-05,,,,33.25769806,52.34000015,56.19767761,92.67210388,36.74979401,risk1,2006,51.77,0.80%,0.64%,,,,,288.6799927
2006-01-06,,,,34.07352448,53.72000122,56.12414169,93.44330597,37.41605759,risk1,2006,52.34,1.91%,1.53%,,,,,
2006-01-09,,,,34.03529739,54.59999847,56.15091324,93.68339539,37.56508636,risk1,2006,52.5,2.22%,1.78%,,,,,
2006-01-10,,,,34.40496063,54.06000137,55.9236145,93.77793884,37.59139633,risk1,2006,52.55,2.32%,1.85%,,,,,
2006-01-11,,,,34.55155563,54.52999878,55.78326416,94.07623291,37.88068771,risk1,2006,52.78,2.76%,2.21%,,,,,
2006-01-12,,,,34.30298996,54.43000031,55.98374557,93.70523834,37.69659805,risk1,2006,52.56,2.34%,1.87%,,,,,
2006-01-13,,,,34.71089172,55.43999863,56.23112869,93.61788177,37.67908478,risk1,2006,52.52,2.26%,1.81%,,,,,
2006-01-17,,,,35.47574234,55.25999832,56.29795074,93.36326599,37.43359756,risk1,2006,52.32,1.87%,1.50%,,,,,
2006-01-18,,,,35.18255234,54.06999969,56.3180275,92.99222565,37.00403595,risk1,2006,52,1.25%,1.00%,,,,,
2006-01-19,,,,35.79441833,55.59000015,56.17760849,93.34872437,37.27580261,risk1,2006,52.25,1.73%,1.39%,,,,,
2006-01-20,,,,35.95376587,55.20000076,56.27118301,91.64631653,36.16243744,risk1,2006,51.12,-0.47%,-0.37%,,,,,
2006-01-23,,,,36.34890747,55.77000046,56.25788116,91.97371674,36.17121124,risk1,2006,51.26,-0.19%,-0.16%,,,,,
2006-01-24,,,,36.13221359,55.72999954,56.16427612,92.06825256,36.32899475,risk1,2006,51.36,0.00%,0.00%,,,,,
2006-01-25,,,,35.37374878,56.13999939,55.81665421,92.14830017,36.17121124,risk1,2006,51.33,-0.06%,-0.05%,,,,,
2006-01-26,,,,35.48848343,55.88000107,55.69630432,92.65757751,36.42544937,risk1,2006,51.63,0.53%,0.42%,,,,,
2006-01-27,,,,36.10672379,55.63000107,55.73643875,93.51602936,36.91636276,risk1,2006,52.17,1.58%,1.26%,,,,,
2006-01-30,,,,36.93529892,56.68000031,55.61619949,93.44330597,36.98648453,risk1,2006,52.17,1.58%,1.26%,,,,,
2006-01-31,,,,36.75046539,56.70000076,55.69630432,92.75940704,36.81993484,risk1,2006,51.83,0.92%,0.73%,,,,,
2006-02-01,,,,35.87726974,56.70000076,55.52466202,93.40692139,36.95144272,risk1,2006,52.14,1.52%,1.21%,,,,,
2006-02-02,,,,35.52035141,56.97999954,55.52466202,92.32289886,36.32023239,risk1,2006,51.46,0.19%,0.16%,,,,,
2006-02-03,,,,35.19529343,56.5,55.69229507,91.86457825,35.87313843,risk1,2006,51.1,-0.51%,-0.40%,,,,,
2006-02-06,,,,35.88365173,56.72000122,55.61183548,92.10463715,35.77671432,risk1,2006,51.15,-0.41%,-0.33%,,,,,
2006-02-07,,,,34.38582611,54.59999847,55.54480362,91.28983307,35.61890793,risk1,2006,50.76,-1.17%,-0.93%,,,,,
2006-02-08,,,,34.3922081,54.83000183,55.51125717,92.11922455,36.03093338,risk1,2006,51.26,-0.19%,-0.16%,,,,,
2006-02-09,,,,33.60825729,56.18000031,55.56490707,91.96641541,35.68901825,risk1,2006,51.06,-0.58%,-0.47%,,,,,
2006-02-10,,,,33.48716354,54.79000092,55.40401077,92.13372803,35.90821075,risk1,2006,51.22,-0.27%,-0.22%,,,,,
2006-02-13,,,,33.35330582,53.72000122,55.40401077,91.96641541,35.49617004,risk1,2006,50.99,-0.72%,-0.58%,,,,,
2006-02-14,,,,32.97727203,54.49000168,55.32349777,92.94132233,35.85561371,risk1,2006,51.52,0.31%,0.25%,,,,,
2006-02-15,,,,32.79880142,53.75999832,55.4241066,93.26868439,36.08353043,risk1,2006,51.74,0.74%,0.59%,,,,,
