date,QQQ price,Dollar price,qqq_buy_quantity,revenue_rate,mdd
2006-01-25,36.17,961.94,28,0.0,0.0
2006-02-22,36.17,963.03,29,0.06,0.0
2006-03-27,36.24,968.48,28,0.55,0.0
2006-04-24,36.81,932.37,30,-1.25,-2.21
2006-05-24,34.08,936.17,31,-6.57,-9.1
2006-06-26,33.58,948.8,31,-5.59,-9.22
2006-07-25,32.15,932.93,34,-9.5,-14.54
2006-08-25,33.64,950.9600219726562,31,-3.05,-8.85
2006-09-25,35.64,901.35,31,-2.35,-8.47
2006-10-25,37.27,932.83,29,5.11,-0.94
2006-11-24,39.22,920.04,27,8.29,0.0
2006-12-22,37.75,921.5,29,4.02,-3.6
2007-01-25,38.46,928.7,27,6.3,-1.01
2007-02-22,39.94,894.66,28,5.89,-0.97
2007-03-26,38.98,927.0,28,6.6,0.0
2007-04-24,40.22,926.14,27,9.27,0.0
2007-05-24,40.62,927.27,27,9.86,0.0
2007-06-25,41.47,931.41,25,11.98,0.0
2007-07-25,43.51,916.01,25,14.72,0.0
2007-08-27,42.17,940.29,26,13.41,-0.51
2007-09-24,44.58,918.67,24,16.33,0.0
2007-10-25,46.74,908.17,24,19.62,0.0
2007-11-26,43.16,931.3200073242188,25,12.69,-5.31
2007-12-24,46.08,921.89,23,18.32,0.0
2008-01-25,38.8,945.5,27,2.09,-13.64
2008-02-25,38.72,945.45,27,1.8,-13.82
2008-03-25,39.57,974.92,26,7.01,-9.19
2008-04-24,41.73,995.0,24,14.63,-2.26
2008-05-23,42.55,1045.0,23,21.96,0.0
2008-06-24,41.35,1026.7,23,15.9,-4.52
2008-07-25,39.99,1007.5,25,9.67,-9.39
2008-08-25,41.07,1089.16,22,21.09,0.0
2008-09-24,36.11,1157.3,24,12.73,-6.58
2008-10-27,25.36,1466.6,28,0.32,-16.85
2008-11-21,23.58,1486.0,28,-5.34,-21.67
2008-12-24,25.8,1318.1,29,-7.9,-23.98
2009-01-26,25.77,1386.1,27,-3.18,-20.15
2009-02-23,24.66,1504.7,27,0.56,-17.05
2009-03-25,27.02,1352.8,28,-0.91,-18.28
2009-04-24,29.87,1340.300048828125,25,8.31,-10.5
2009-05-22,29.74,1243.800048828125,27,0.07,-17.31
2009-06-24,31.6,1285.5,24,9.67,-9.19
2009-07-27,34.94,1240.8,23,16.65,-3.08
2009-08-25,35.84,1247.7,23,19.84,-0.03
2009-09-24,37.39,1157.8,23,15.66,-3.22
2009-10-26,38.2,1183.8,22,20.37,0.0
2009-11-23,39.23,1153.6,22,20.03,0.0
2009-12-24,40.93,1156.1,21,24.97,0.0
2010-01-25,39.44,1130.8,22,17.43,-5.75
2010-02-22,39.83,1147.9,22,19.97,-3.38
2010-03-25,42.73,1144.8,20,27.81,0.0
2010-04-26,44.92,1114.4,20,30.2,0.0
2010-05-24,39.8,1243.6,20,28.2,-1.13
2010-06-24,40.49,1210.3,21,26.41,-2.11
2010-07-26,41.54,1181.0,20,26.08,-2.0
2010-08-25,39.42,1195.1,21,20.7,-5.89
