date,qqq_price,krw_price,qqq_buy_quantity,revenue_rate,mdd
2006-07-12,1.81,939.23,588,0.0,0.0
2006-07-13,1.75,912.9,626,-3.01,-6.03
2006-07-14,1.71,912.9,640,-3.49,-8.17
2006-07-17,1.72,948.57,613,0.65,-4.03
2006-07-18,1.73,943.96,613,0.6,-3.94
2006-07-20,1.72,935.57,621,-0.73,-5.34
2006-07-21,1.68,935.57,636,-2.6,-7.54
2007-02-27,2.31,927.55,467,28.67,0.0
2007-03-02,2.25,903.97,491,19.69,-5.07
2007-03-05,2.22,909.89,495,16.98,-5.73
2007-08-15,2.56,943.87,414,36.3,0.0
2007-08-16,2.5,949.41,422,31.06,-1.77
2007-11-09,2.95,905.02,374,43.78,0.0
2007-11-12,2.8,911.51,392,34.77,-4.4
2008-01-04,2.73,939.53,390,33.07,-3.93
2008-01-07,2.69,939.27,396,29.14,-5.36
2008-01-08,2.57,938.89,414,21.96,-9.62
2008-01-09,2.65,936.71,403,24.05,-7.02
2008-01-10,2.65,932.77,404,22.29,-7.42
2008-01-11,2.58,936.83,414,18.6,-9.47
2008-01-15,2.52,937.01,424,15.11,-11.56
2008-01-16,2.45,937.83,435,11.46,-13.94
2008-01-17,2.38,947.44,443,8.98,-15.54
2008-01-18,2.37,941.76,448,7.54,-16.4
2008-01-22,2.24,950.29,470,2.46,-20.27
2008-01-23,2.26,947.98,467,3.01,-19.75
2008-01-24,2.33,946.02,454,5.76,-17.44
2008-01-25,2.22,945.5,476,0.68,-21.38
2008-01-28,2.26,949.17,466,2.79,-19.65
2008-01-29,2.27,942.93,467,2.48,-19.83
2008-01-30,2.27,940.64,469,2.16,-20.02
2008-02-05,2.2,943.06,482,-0.71,-22.29
2008-02-06,2.11,942.32,503,-4.7,-25.53
2008-02-07,2.15,941.84,494,-2.86,-24.15
2008-02-08,2.18,940.57,487,-1.59,-23.2
2008-03-03,2.08,945.48,509,-5.45,-26.34
2008-03-06,2.03,947.07,520,-7.37,-27.99
2008-03-07,2.02,955.47,518,-6.82,-27.71
2008-03-10,1.94,964.74,534,-9.4,-29.9
2008-06-26,2.31,1041.1,416,16.01,-9.92
2008-06-30,2.27,1041.1,423,13.66,-11.48
2008-07-02,2.21,1042.8,434,10.58,-13.68
2008-07-03,2.2,1047.7,434,10.35,-13.67
2008-07-15,2.15,1007.7,462,3.64,-18.85
2008-09-04,2.08,1116.7,430,10.86,-13.0
2008-09-05,2.07,1116.7,433,10.11,-13.42
2008-09-08,2.05,1101.6,443,7.41,-15.41
2008-09-09,1.97,1093.0,464,2.36,-19.35
2008-09-10,1.99,1104.9,455,4.43,-17.64
2008-09-15,1.94,1160.0,444,6.75,-15.71
2008-09-16,1.95,1099.6,467,1.68,-19.69
2008-09-17,1.76,1158.5,490,-3.25,-23.63
2008-09-18,1.89,1136.6,465,1.9,-19.54
2008-09-22,1.81,1147.1,482,-1.49,-22.23
2008-09-23,1.77,1154.2,490,-3.01,-23.48
2008-09-29,1.47,1204.8,564,-15.64,-33.66
2008-09-30,1.62,1189.9,519,-8.03,-27.8
2008-10-01,1.58,1226.8,516,-7.39,-27.4
2008-10-02,1.45,1229.9,561,-14.55,-33.2
2008-10-03,1.38,1229.9,589,-18.36,-36.43
2008-10-06,1.25,1333.5,600,-19.5,-37.57
2008-10-07,1.13,1397.6,633,-23.35,-40.85
2008-10-08,1.1,1386.6,656,-25.56,-42.87
2008-10-09,1.01,1313.8,753,-34.68,-50.3
2008-10-10,1.03,1313.8,739,-32.88,-49.31
2008-10-14,1.16,1249.2,690,-27.7,-45.72
2008-10-15,0.95,1362.5,773,-34.89,-51.52
2008-10-16,1.06,1337.0,706,-28.28,-46.92
2008-10-17,1.06,1337.0,705,-27.88,-46.92
2008-10-21,1.01,1420.3,697,-26.61,-46.27
2008-10-22,0.95,1399.4,753,-31.53,-50.21
2008-10-23,0.94,1428.0,745,-30.44,-49.72
2008-10-24,0.88,1428.0,795,-34.4,-52.93
2008-10-27,0.83,1466.6,822,-35.97,-54.41
2008-11-12,0.82,1367.0,892,-40.49,-58.01
2008-11-19,0.7,1456.5,981,-45.27,-61.81
2008-11-20,0.64,1506.9,1037,-47.6,-63.88
2008-11-21,0.69,1486.0,975,-43.72,-61.6
2009-03-02,0.65,1571.4,979,-43.38,-61.74
2009-03-03,0.65,1553.0,991,-43.49,-62.19
2009-03-05,0.64,1568.6,996,-43.26,-62.4
2009-03-06,0.63,1553.9,1022,-44.13,-63.33
2009-03-09,0.61,1547.7,1059,-45.56,-64.64
2010-01-29,1.6,1158.2,539,6.77,-30.59
2010-02-04,1.59,1147.0,549,5.02,-31.69
2010-05-06,1.88,1151.0,462,24.32,-18.95
2010-05-07,1.79,1151.0,485,18.16,-22.83
2010-05-20,1.7,1193.5,493,16.17,-24.0
2010-05-21,1.73,1193.5,484,18.02,-22.66
2010-05-24,1.72,1243.6,468,22.02,-19.88
2010-05-25,1.72,1257.4,462,23.11,-18.99
2010-05-26,1.68,1225.5,486,17.01,-22.88
2010-06-29,1.61,1227.2,506,12.16,-26.0
2010-06-30,1.56,1223.1,524,8.23,-28.53
2010-07-01,1.56,1228.9,522,8.65,-28.19
2010-07-02,1.55,1228.9,525,7.87,-28.65
2010-07-06,1.55,1217.3,530,6.78,-29.33
2010-08-24,1.62,1195.4,516,9.49,-27.46
2011-03-16,2.47,1136.2,356,58.09,0.0
2011-03-18,2.51,1131.8,352,59.42,0.0
2011-06-08,2.57,1078.2,361,54.95,-2.46
2011-06-09,2.58,1083.6,358,55.78,-1.59
2011-06-10,2.5,1083.6,369,50.46,-4.64
2011-06-13,2.5,1081.2,370,49.64,-4.85
2011-06-15,2.47,1084.4,373,47.83,-5.71
2011-06-16,2.45,1087.6,376,46.62,-6.2
2011-06-17,2.44,1087.6,376,45.59,-6.59
2011-06-20,2.46,1081.7,376,45.56,-6.33
2011-08-04,2.45,1067.4,383,42.66,-7.94
2011-08-05,2.42,1067.4,387,40.54,-9.07
2011-08-08,2.14,1087.7,429,26.4,-18.06
2011-08-10,2.14,1084.4,431,25.79,-18.31
2011-08-18,2.14,1075.8,435,24.57,-18.96
2011-08-19,2.06,1075.8,451,19.74,-21.99
2011-08-22,2.08,1084.5,443,21.69,-20.59
2011-11-25,2.26,1155.3,383,40.5,-8.09
2012-05-14,3.24,1152.6,268,100.09,0.0
2012-05-15,3.22,1155.0,269,98.42,-0.41
2012-05-16,3.18,1165.4,269,96.9,-0.76
2012-05-17,3.04,1164.8,283,87.4,-5.18
2012-05-18,2.97,1164.8,289,82.4,-7.36
2012-06-01,2.92,1179.0,290,80.85,-7.81
2012-06-04,2.96,1177.5,287,82.42,-6.67
2012-10-11,3.55,1112.1,254,105.76,0.0
2012-10-12,3.55,1112.1,253,104.92,0.0
2012-10-19,3.44,1103.9,263,96.34,-3.81
2012-10-23,3.41,1102.5,266,93.63,-4.77
2012-10-24,3.38,1103.0,268,91.3,-5.57
2012-10-25,3.38,1097.0,270,89.56,-6.08
2012-10-26,3.4,1097.0,268,89.98,-5.53
2012-10-31,3.36,1090.3,273,85.94,-7.21
2012-11-07,3.28,1089.1,280,80.7,-9.52
2012-11-08,3.18,1085.7,290,74.08,-12.55
2012-11-09,3.2,1088.3,287,75.03,-11.79
2012-11-12,3.2,1057.1,296,69.49,-14.32
2012-11-13,3.16,1088.9,290,71.88,-12.84
2012-11-14,3.08,1088.5,298,66.97,-15.08
2012-11-15,3.06,1085.4,302,64.94,-15.87
2012-11-16,3.08,1087.6,298,65.88,-15.15
2014-10-13,6.9,1065.5,136,262.17,0.0
2014-10-14,6.9,1064.2,136,259.88,-0.12
2014-10-15,6.81,1059.7,139,251.89,-1.84
2014-10-16,6.72,1060.0,140,245.61,-3.11
2014-12-16,7.93,1097.9,115,320.18,0.0
2015-08-20,9.06,1182.53,93,414.2,0.0
2015-08-21,8.28,1182.53,102,367.4,-8.61
2015-08-24,7.66,1189.58,110,332.69,-14.95
2015-08-25,7.57,1189.16,111,325.25,-15.98
2015-09-28,7.83,1193.81,107,339.28,-12.75
2015-09-29,7.75,1194.16,108,332.69,-13.62
2016-01-07,8.56,1198.74,98,377.21,-4.22
2016-01-08,8.41,1195.39,99,365.13,-6.16
2016-01-11,8.47,1205.94,98,370.15,-4.66
2016-01-12,8.67,1202.72,96,377.5,-2.67
2016-01-13,8.07,1208.5,102,344.36,-8.97
2016-01-15,7.89,1206.44,105,331.57,-11.15
2016-01-19,7.92,1208.84,105,331.94,-10.64
2016-01-20,7.87,1205.75,105,326.04,-11.43
2016-01-21,7.89,1207.25,105,325.6,-11.09
2016-02-05,7.42,1190.85,113,292.97,-17.53
2016-02-08,7.2,1204.35,116,283.85,-19.06
2016-02-09,7.15,1202.67,116,278.93,-19.74
2016-02-10,7.21,1197.15,116,278.63,-19.44
2016-02-11,7.2,1187.95,117,273.52,-20.17
2016-04-29,8.59,1134.0,102,323.43,-9.08
2016-05-04,8.48,1164.75,102,327.35,-7.81
2016-05-05,8.48,1164.5,101,325.3,-7.83
2016-06-24,8.36,1141.26,105,309.06,-10.95
2016-06-27,8.04,1177.65,105,304.15,-11.62
2016-11-02,10.13,1145.47,86,392.97,0.0
2016-11-03,9.94,1145.17,88,381.35,-1.9
2016-11-04,9.86,1143.42,89,374.55,-2.84
2018-02-05,18.76,1090.01,49,756.31,0.0
2018-02-08,17.61,1089.42,52,699.35,-6.18
2018-03-23,18.66,1079.9,49,735.44,-1.46
2018-10-10,21.38,1142.85,41,907.82,0.0
2018-10-11,20.84,1134.3,43,869.99,-3.25
2018-10-15,21.44,1135.17,41,893.65,-0.39
2018-10-24,19.69,1137.56,44,809.98,-8.33
2018-10-29,19.24,1139.5,46,786.27,-10.27
2018-11-20,18.07,1126.19,49,718.67,-16.71
2018-11-23,18.06,1135.5,49,720.98,-16.07
2018-12-19,16.89,1125.07,52,657.17,-22.23
2018-12-20,16.38,1128.13,55,632.79,-24.37
2018-12-21,15.32,1120.03,58,577.33,-29.78
2018-12-24,14.6,1127.5,61,546.83,-32.63
2019-05-13,22.01,1187.18,38,921.81,0.0
2019-05-29,21.33,1192.21,39,889.72,-2.68
2019-05-31,20.8,1188.38,41,857.4,-5.4
2019-06-03,19.92,1178.35,42,804.96,-10.17
2019-08-05,22.28,1216.65,37,940.11,0.0
2020-02-25,30.97,1217.65,26,1340.1,0.0
2020-02-27,28.11,1211.36,30,1194.0,-9.7
2020-02-28,28.39,1211.31,29,1200.63,-8.81
2020-03-09,24.64,1187.7,34,1001.69,-22.4
2020-03-12,20.3,1189.39,42,804.75,-35.97
2020-03-16,18.3,1210.8,45,726.6,-41.24
2020-03-20,18.15,1256.88,44,747.22,-39.51
2020-03-23,18.25,1253.95,44,746.1,-39.32
2021-03-04,53.46,1129.5,16,2122.22,0.0
2021-03-08,51.96,1127.49,17,2045.84,-2.98
2021-05-12,57.52,1131.6,15,2273.07,0.0
2021-09-28,73.64,1186.89,12,3070.62,0.0
2021-09-29,73.46,1187.43,11,3049.89,-0.2
